redemption_id,c_id,pcode_id,cust_id,redeemed
1351,8,1058,579,0
1356,29,621,184,0
1357,8,1086,288,0
1358,3,670,67,0
1360,8,757,1049,0
1362,8,433,602,0
1365,29,982,569,0
1370,8,90,1008,0
1371,5,934,866,0
1372,8,1073,1259,0
1375,29,674,386,0
1379,8,806,206,0
1388,8,64,1371,0
1393,5,455,7,0
1395,8,627,573,0
1396,8,293,1450,0
1398,7,986,478,0
1402,29,416,81,0
1403,8,1018,210,0
1405,29,443,874,0
1406,27,1098,1192,0
1407,26,1000,1396,0
1408,28,441,189,0
1412,7,1050,1146,0
1416,8,82,450,0
1418,8,772,498,0
1419,30,921,310,0
1424,7,1102,772,0
1429,30,747,202,0
1434,29,613,865,0
1435,8,58,697,0
1437,30,354,412,0
1438,8,907,483,0
1439,8,470,529,0
1442,29,1046,855,0
1444,8,49,1300,0
1445,8,513,683,0
1446,30,747,1347,0
1449,30,866,1258,0
1455,8,772,694,0
1456,8,554,1280,0
1461,7,392,1531,0
1463,8,50,84,0
1465,8,433,84,0
1467,26,694,234,0
1473,8,49,1223,0
1474,8,437,841,0
1478,8,8,1085,0
1479,8,470,544,0
1480,8,544,1551,0
1481,8,674,386,0
1483,8,51,198,0
1484,2,642,233,0
1486,8,707,176,0
1488,8,804,995,0
1490,26,667,964,0
1491,7,1102,1147,0
1502,26,407,642,0
1503,8,69,1312,0
1504,30,939,378,0
1506,26,634,958,0
1510,8,481,1516,0
1512,8,942,587,0
1513,5,955,1046,0
1522,8,77,1003,0
1524,30,668,1436,0
1530,26,636,131,0
1532,8,65,186,0
1533,8,1110,1373,0
1537,8,707,363,0
1538,8,81,743,0
1542,8,292,248,0
1544,7,691,609,0
1547,30,924,321,0
1548,5,689,688,0
1553,8,906,171,0
1554,8,658,1185,0
1563,8,658,1537,0
1564,30,946,283,0
1565,8,865,277,0
1568,30,914,1351,0
1569,30,666,1041,0
1570,26,569,1544,0
1571,7,641,609,0
1573,8,623,405,0
1579,26,322,46,0
1582,30,351,895,0
1584,8,76,1358,0
1585,8,92,1565,0
1588,8,288,1538,0
1591,8,437,757,0
1593,26,1115,1157,0
1594,8,470,510,0
1596,30,360,58,0
1601,8,1073,1330,0
1605,26,746,1298,0
1607,8,705,342,0
1608,8,1085,19,0
1609,26,262,524,0
1615,8,1063,87,0
1616,26,985,1226,0
1617,29,443,184,0
1621,26,307,93,0
1623,30,961,1387,0
1625,8,915,1290,0
1626,26,473,1418,0
1628,8,723,1550,0
1631,8,46,327,0
1637,5,1043,1182,0
1638,7,1050,299,0
1639,26,749,99,0
1641,8,674,1582,1
1644,8,727,1131,0
1646,29,975,863,0
1647,30,974,37,0
1657,8,66,808,0
1661,8,711,151,0
1668,8,810,1027,0
1669,8,75,1418,0
1672,7,392,222,0
1675,8,738,78,0
1676,8,979,62,0
1680,8,97,8,0
1681,26,489,310,0
1684,30,468,225,0
1690,30,431,1274,0
1692,8,755,1141,0
1695,8,77,791,0
1696,8,87,556,0
1705,30,625,490,0
1707,8,567,1136,0
1709,29,619,1324,0
1710,8,583,195,0
1714,8,747,1056,0
1718,26,375,171,0
1719,8,53,1461,0
1723,8,75,151,0
1724,5,663,1134,0
1729,8,879,966,0
1736,26,319,275,0
1737,26,476,834,0
1743,8,72,952,0
1745,29,787,338,0
1746,3,321,1025,0
1760,30,439,787,0
1761,8,68,1134,0
1762,8,293,823,0
1763,8,99,1266,0
1768,8,80,1210,0
1771,7,1102,561,0
1772,30,1036,38,0
1775,30,1074,1384,0
1776,26,870,751,0
1779,2,744,233,0
1785,8,919,1238,0
1787,26,350,576,0
1790,29,1081,1429,0
1791,8,1002,754,0
1795,5,1105,8,0
1802,8,46,167,0
1804,29,696,1212,0
1809,8,532,1136,0
1810,8,544,1405,0
1813,8,470,189,0
1814,30,276,435,0
1816,30,4,1481,0
1817,8,915,992,0
1818,8,757,1187,0
1823,8,276,271,0
1827,8,269,1058,0
1828,8,792,1071,0
1832,8,102,1520,0
1833,26,375,121,0
1834,5,955,1491,0
1843,8,83,958,0
1844,8,86,345,0
1851,28,650,189,0
1853,5,689,1332,0
1857,30,894,1274,0
1859,8,383,1428,0
1860,30,355,195,0
1861,26,569,15,1
1868,8,672,963,0
1870,7,687,905,0
1873,8,674,943,0
1874,30,1074,269,0
1878,8,1086,433,0
1883,30,1001,566,0
1889,30,423,621,0
1891,5,934,1381,0
1893,26,369,1565,0
1896,8,865,295,0
1897,7,17,265,0
1899,8,66,207,0
1902,26,338,358,0
1905,8,102,1470,0
1909,8,46,1036,0
1910,30,659,1441,0
1913,8,296,598,0
1915,8,738,1404,0
1918,8,705,676,0
1919,7,17,602,0
1922,8,711,1244,0
1924,26,464,1132,0
1926,8,62,51,0
1927,5,1105,1466,0
1930,8,50,951,0
1931,29,785,973,0
1933,8,793,283,0
1940,8,928,1444,0
1941,8,1110,496,0
1943,8,700,13,0
1947,26,1019,493,0
1949,8,907,151,0
1950,26,854,841,0
1953,30,773,1497,0
1955,26,1087,732,0
1956,26,453,90,0
1967,30,423,1520,0
1969,26,1043,631,0
1971,8,49,832,0
1972,29,418,1562,0
1975,30,320,231,0
1977,8,817,873,0
1981,29,538,1309,0
1982,30,773,262,0
1986,8,271,637,0
1992,7,1050,1164,0
1996,8,80,949,0
1997,30,308,1061,0
1998,30,798,993,0
2003,8,805,1134,0
2010,8,513,1580,0
2013,8,432,776,0
2015,30,510,621,0
2018,8,682,1397,0
2020,29,448,57,0
2021,30,486,531,0
2023,26,660,606,0
2024,8,65,837,0
2028,29,3,363,0
2035,3,836,590,0
2037,5,455,83,0
2041,29,597,1055,0
2047,8,383,797,0
2048,8,727,649,0
2058,8,94,682,0
2063,7,17,661,0
2069,7,691,550,0
2072,26,925,46,0
2079,8,723,1165,0
2080,8,989,128,0
2084,26,246,1019,0
2090,30,426,37,0
2092,8,738,264,0
2093,26,468,626,1
2094,5,934,1372,0
2097,26,710,1261,0
2101,30,638,88,0
2114,29,265,413,0
2115,8,805,753,0
2116,28,650,1025,0
2118,8,537,1184,0
2120,26,470,279,0
2125,8,583,892,0
2129,30,948,235,0
2134,8,623,124,0
2136,8,581,69,0
2137,26,775,758,0
2147,8,85,1529,0
2151,8,964,39,0
2152,30,348,1227,0
2153,5,967,1014,0
2159,30,376,1174,0
2161,26,374,1157,0
2162,8,63,742,0
2165,8,709,1064,0
2166,26,407,531,0
2168,7,1050,422,0
2169,26,491,1418,0
2170,29,674,489,0
2173,8,544,1392,0
2174,26,851,696,0
2175,30,980,578,0
2180,8,817,1268,0
2183,8,12,614,0
2185,26,1039,1397,0
2186,30,354,419,0
2187,8,964,1317,0
2188,1,442,362,0
2189,30,683,27,0
2191,26,1,1261,0
2195,8,509,706,0
2200,7,1050,318,0
2207,29,982,1055,0
2208,5,934,1216,0
2209,5,663,377,0
2210,8,616,695,0
2212,29,1081,863,0
2221,8,654,304,0
2222,8,9,120,0
2228,7,687,1490,0
2232,8,276,196,0
2233,8,757,1529,0
2234,8,71,813,0
2237,8,248,1552,0
2240,29,1040,677,0
2244,26,356,99,0
2246,8,77,161,0
2249,8,101,1185,0
2260,8,449,317,0
2266,8,598,1112,0
2267,8,73,176,0
2270,8,465,1085,1
2276,8,99,271,0
2277,8,50,867,0
2279,29,643,484,0
2281,8,53,1413,0
2282,29,445,876,0
2283,8,278,1231,0
2284,8,55,572,0
2288,26,468,1224,0
2289,8,247,1430,0
2290,26,367,596,0
2295,26,754,1236,0
2299,8,707,813,0
2308,26,611,1044,0
2309,30,980,1246,0
2311,30,574,1192,0
2312,26,898,675,0
2313,26,797,964,0
2320,8,1086,1444,0
2321,8,62,10,0
2324,8,711,624,0
2325,8,624,831,0
2326,8,85,733,0
2327,30,939,1467,0
2329,30,409,648,0
2330,5,431,1091,0
2332,8,83,490,0
2335,8,757,1036,0
2336,26,529,1323,0
2338,26,936,1081,0
2340,30,4,1203,0
2342,30,360,1014,0
2343,7,687,695,0
2346,8,1015,1180,0
2347,26,323,732,0
2348,26,478,1415,0
2351,3,828,67,0
2355,8,102,140,0
2359,8,1000,598,0
2360,8,513,115,0
2363,8,885,1412,0
2365,8,53,1022,0
2372,8,604,1069,0
2373,5,663,73,0
2375,29,982,656,0
2377,5,431,109,0
2378,8,1000,369,0
2379,8,705,1202,0
2380,30,907,1064,0
2381,30,980,1464,0
2384,8,58,529,0
2387,30,541,113,0
2388,8,554,1355,0
2389,26,917,561,0
2391,29,416,876,0
2397,8,737,125,0
2402,8,60,1541,0
2405,8,723,396,0
2406,26,764,162,0
2408,8,59,1427,0
2409,8,654,519,0
2410,5,279,1454,0
2411,26,1090,713,0
2417,30,990,442,0
2418,26,694,823,0
2419,29,1046,91,0
2420,8,79,1239,0
2422,26,820,1357,0
2423,2,1047,633,0
2425,29,243,677,0
2431,8,865,1520,0
2433,28,436,1378,0
2439,8,98,433,0
2441,8,80,269,0
2443,29,538,786,0
2449,30,425,1467,0
2454,8,66,978,0
2461,26,764,164,0
2463,8,78,1201,0
2464,8,989,807,0
2468,8,661,926,0
2469,5,955,478,0
2470,26,316,1375,0
2471,8,89,1571,0
2473,8,82,1164,0
2476,26,476,231,0
2477,8,269,183,0
2479,7,691,1311,0
2482,30,359,231,0
2484,30,363,859,0
2485,29,621,1443,0
2491,8,989,297,0
2492,26,752,1157,0
2494,8,45,1327,0
2495,30,261,117,0
2498,8,983,612,0
2500,30,479,371,0
2503,26,748,531,0
2508,26,475,171,0
2509,29,448,368,0
2512,8,792,1117,0
2516,8,96,181,0
2519,30,336,1473,0
2522,26,471,1469,0
2524,8,257,296,0
2527,2,744,843,0
2528,30,336,1226,0
2529,30,552,1226,0
2530,8,49,101,0
2531,7,1102,607,0
2535,8,271,362,0
2537,8,656,314,0
2544,30,363,460,0
2545,26,569,118,0
2546,8,916,1521,0
2551,8,10,457,0
2567,26,250,243,0
2570,8,583,1431,0
2571,26,361,596,0
2572,8,583,779,0
2577,26,302,293,0
2580,30,343,1138,0
2587,8,550,1049,0
2589,8,674,557,0
2590,8,433,794,0
2594,30,1024,561,0
2598,8,737,862,0
2599,30,310,464,0
2604,29,873,1573,0
2605,28,315,1378,0
2608,8,58,1238,0
2610,30,574,72,0
2613,5,934,735,0
2616,8,804,1245,0
2617,3,823,998,0
2618,8,581,829,0
2619,8,481,333,0
2621,26,350,510,0
2622,30,821,1288,0
2624,8,761,166,0
2625,8,50,1309,0
2626,29,621,262,0
2628,8,623,205,0
2631,8,810,1209,0
2636,30,288,262,0
2637,5,934,1103,0
2638,8,879,1158,0
2642,29,597,677,0
2643,7,17,1187,0
2644,8,101,495,0
2645,8,615,346,0
2649,8,247,1319,0
2657,8,1048,904,0
2664,8,567,1229,0
2665,30,631,711,0
2666,8,919,1290,0
2667,30,474,492,0
2668,8,723,919,0
2670,30,324,1408,0
2671,8,433,167,0
2673,8,550,1064,0
2677,30,324,439,0
2679,29,982,1140,0
2682,30,554,240,0
2685,30,510,465,0
2686,2,673,196,0
2687,5,663,1093,0
2688,26,1072,667,0
2690,26,820,103,0
2694,8,1000,937,0
2699,5,431,1103,0
2700,8,782,124,0
2706,30,325,1081,0
2714,8,100,1451,0
2715,30,1083,430,0
2718,8,513,1484,0
2719,8,981,1578,1
2720,8,87,1489,0
2722,8,741,573,0
2730,8,919,1470,0
2735,8,532,175,0
2738,8,97,136,0
2740,29,873,786,0
2741,29,3,338,0
2748,8,71,1012,0
2751,8,558,243,0
2754,8,1048,1341,0
2758,8,865,973,0
2760,26,338,1464,0
2762,8,761,536,0
2766,8,283,973,0
2767,7,986,729,0
2770,8,430,132,0
2772,8,90,42,0
2778,8,10,483,0
2782,30,615,72,0
2784,29,597,1398,0
2785,8,889,1129,0
2791,8,1015,405,0
2794,26,374,998,0
2795,8,64,414,0
2800,8,723,716,0
2803,8,772,1279,0
2804,8,885,1316,0
2810,8,64,1233,0
2815,8,56,1128,0
2816,7,392,898,0
2817,26,917,1211,0
2821,8,1084,1538,0
2824,26,330,1402,0
2835,8,725,930,0
2836,8,1073,587,0
2841,8,579,40,0
2843,8,424,743,0
2844,30,914,1418,0
2845,8,1017,830,0
2850,8,970,205,0
2851,8,85,707,0
2852,8,883,1297,0
2860,8,737,1153,0
2862,26,752,1568,0
2865,8,276,1045,0
2866,26,862,732,0
2868,29,538,81,0
2873,8,101,337,0
2874,8,1000,1472,0
2881,29,265,1099,0
2885,26,473,1513,0
2887,8,915,1307,0
2889,8,1081,209,0
2891,30,998,890,0
2892,26,754,910,0
2893,8,725,27,0
2898,7,986,1194,0
2899,8,501,1167,0
2900,30,541,1401,0
2902,27,403,1387,0
2903,29,1081,1099,0
2908,30,865,1236,0
2909,30,364,384,0
2915,30,974,1259,0
2921,30,1104,865,0
2922,8,755,1285,0
2926,26,735,630,0
2931,7,1102,458,0
2937,26,775,1258,0
2940,30,602,859,0
2941,8,1073,1467,0
2942,8,71,125,0
2944,8,1033,874,0
2945,30,933,164,0
2949,8,83,202,0
2952,8,58,236,0
2955,8,810,241,0
2956,8,812,84,0
2959,8,433,1145,0
2960,8,906,1319,0
2961,30,474,632,0
2962,8,85,220,0
2963,8,700,218,0
2969,29,868,489,0
2973,29,785,7,0
2975,8,87,1339,0
2977,26,502,687,0
2979,8,432,1095,0
2983,29,985,1445,0
2985,8,7,1545,0
2992,30,332,1335,0
2994,26,1019,90,0
2997,30,1015,1347,0
2999,8,759,1271,0
3002,29,1081,1329,0
3004,5,279,626,0
3011,29,1040,368,0
3012,30,427,11,0
3014,30,380,1072,0
3015,30,380,263,0
3016,30,998,1144,0
3019,29,619,923,0
3023,8,79,1258,0
3026,8,1033,456,0
3030,8,77,521,0
3033,8,11,720,0
3038,30,686,451,0
3039,30,5,1123,0
3040,8,55,346,0
3041,8,806,823,0
3042,8,885,821,0
3047,26,694,523,0
3048,26,1009,1070,0
3049,8,78,1296,0
3051,29,787,247,0
3056,26,305,667,0
3063,26,326,1209,0
3065,27,1092,195,0
3067,26,931,214,0
3070,8,97,188,0
3072,8,645,932,0
3082,8,658,1509,0
3083,8,76,662,0
3084,30,288,569,0
3090,30,331,1333,0
3093,30,911,1190,0
3094,26,694,1046,0
3105,30,924,1320,0
3107,2,347,416,0
3113,8,14,1486,0
3116,30,998,460,0
3118,8,81,276,0
3121,8,285,594,0
3125,30,554,1224,0
3126,7,687,1239,0
3127,29,538,152,0
3136,27,399,787,0
3137,8,424,1388,0
3140,8,705,692,0
3144,8,964,1271,0
3145,8,1048,809,0
3146,8,583,155,0
3149,8,470,329,0
3150,8,711,794,0
3151,29,982,1167,0
3153,29,619,586,0
3155,30,998,37,0
3156,26,981,596,0
3157,26,912,841,0
3164,8,296,1482,0
3165,30,798,402,0
3173,26,610,599,0
3174,5,1043,367,0
3178,8,889,1473,0
3180,8,66,45,0
3181,8,550,708,0
3186,26,875,1450,0
3195,29,943,26,0
3198,8,59,41,0
3201,30,261,1192,0
3203,30,314,1391,0
3206,8,465,1474,0
3207,30,371,565,0
3215,8,583,1334,0
3217,26,374,293,0
3222,30,428,203,0
3224,8,283,798,0
3228,1,524,401,0
3229,30,391,72,0
3233,8,283,90,0
3241,30,594,503,0
3243,8,49,179,0
3244,8,465,1174,0
3245,8,94,798,0
3247,26,243,979,0
3248,30,470,451,0
3252,26,647,895,0
3254,26,1043,400,0
3255,29,696,131,0
3260,8,95,727,0
3263,29,696,1296,0
3264,8,6,194,0
3268,8,81,188,0
3269,8,61,1193,0
3273,8,247,108,0
3274,2,897,1012,0
3275,5,455,1309,0
3283,30,814,1291,0
3286,8,66,1434,0
3288,8,71,3,0
3292,8,1015,577,0
3296,8,622,1017,0
3299,30,980,547,0
3303,8,75,1054,0
3305,8,658,1323,0
3311,30,625,891,0
3315,28,459,1387,0
3316,8,49,1101,0
3319,8,93,11,0
3322,8,481,937,0
3333,26,620,795,0
3334,26,407,1210,0
3336,8,424,1071,0
3337,8,865,412,0
3339,30,364,117,0
3342,26,299,214,0
3343,8,919,100,0
3345,5,955,1092,0
3347,26,931,968,0
3350,29,613,1252,0
3353,8,738,1268,0
3354,2,628,564,0
3355,8,473,788,0
3357,26,358,1549,0
3365,29,985,398,0
3366,7,1102,228,0
3368,29,613,1309,0
3370,8,80,437,0
3373,30,358,1328,0
3374,2,703,636,0
3375,29,3,1212,0
3377,26,862,871,0
3378,2,744,1450,0
3381,8,1000,131,0
3382,26,790,58,0
3383,7,392,180,0
3385,8,103,1211,0
3388,8,13,1280,0
3389,8,58,488,0
3393,7,691,299,0
3394,30,318,922,0
3395,8,922,760,0
3397,8,725,223,0
3398,30,346,590,0
3399,30,438,195,0
3404,1,524,344,0
3406,8,12,101,0
3408,26,862,1074,0
3414,8,727,186,0
3418,8,473,919,0
3419,8,48,1506,0
3421,26,470,86,0
3426,8,1081,868,0
3429,26,1053,1575,0
3431,26,746,1104,0
3432,8,48,1241,0
3437,8,70,118,0
3438,8,1018,560,0
3439,8,76,1394,0
3444,30,391,840,0
3451,8,884,1067,0
3453,8,610,1276,0
3454,5,1043,8,0
3455,8,554,1166,0
3457,8,733,489,0
3459,30,712,371,0
3460,8,83,161,0
3461,8,69,461,0
3462,29,445,102,0
3463,30,358,871,0
3465,8,741,520,0
3466,8,1018,257,1
3467,5,967,626,0
3468,8,700,100,0
3477,8,61,173,0
3478,8,537,675,0
3480,8,50,1055,0
3481,8,69,1368,0
3482,30,754,1060,0
3483,8,610,1391,0
3488,30,529,294,0
3494,7,986,337,0
3495,8,52,1348,0
3497,2,853,1079,0
3503,8,654,444,0
3507,26,356,263,0
3509,5,455,1145,0
3511,29,643,1216,0
3518,8,1049,1289,0
3522,8,622,1142,0
3527,8,47,1358,0
3529,8,102,396,0
3533,2,1107,1555,0
3534,30,4,1274,0
3535,8,865,729,0
3536,8,879,1013,0
3537,7,687,1366,0
3539,8,567,661,0
3540,8,656,1411,0
3544,28,702,1025,0
3545,8,91,456,0
3548,30,260,1457,0
